Date of Collection,Country Stats Detection Type,Threat Type,Threat Name,Threat Value (%),Threat Link
2026-03-20,On-Access Scan,Trojan,Trojan.Script.Generic,18.78%,https://threats.kaspersky.com/en/threat/Trojan.Script.Generic
2026-02-11,On-Access Scan,DangerousObject,DangerousObject.Multi.Generic,7.43%,https://threats.kaspersky.com/en/threat/DangerousObject.Multi.Generic
2026-02-11,On-Access Scan,Trojan,Trojan.VBS.SAgent.gen,3.16%,https://threats.kaspersky.com/en/threat/Trojan.VBS.SAgent.gen
2026-02-11,On-Access Scan,Trojan,Trojan.Win32.Hosts2.gen,2.91%,https://threats.kaspersky.com/en/threat/Trojan.Win32.Hosts2.gen
2026-02-11,On-Access Scan,Trojan,Trojan.Script.Agent.gen,2.8%,https://threats.kaspersky.com/en/threat/Trojan.Script.Agent.gen
2026-02-11,On-Access Scan,Trojan,Trojan.Win32.Sdum.gen,2.3%,https://threats.kaspersky.com/en/threat/Trojan.Win32.Sdum.gen
2026-02-11,On-Access Scan,Trojan,Trojan.Win32.Staser.gen,1.87%,https://threats.kaspersky.com/en/threat/Trojan.Win32.Staser.gen
2026-02-11,On-Access Scan,Trojan,Trojan.Multi.GenBadur.gen,1.71%,https://threats.kaspersky.com/en/threat/Trojan.Multi.GenBadur.gen
2026-02-11,On-Access Scan,Trojan-Downloader,Trojan-Downloader.Script.Agent.gen,1.45%,https://threats.kaspersky.com/en/threat/Trojan-Downloader.Script.Agent.gen
2026-02-11,On-Access Scan,Trojan,Trojan.Win32.Convagent.gen,1.43%,https://threats.kaspersky.com/en/threat/Trojan.Win32.Convagent.gen
2026-02-11,On-Demand Scan,DangerousObject,DangerousObject.Multi.Generic,6.37%,https://threats.kaspersky.com/en/threat/DangerousObject.Multi.Generic
2026-02-11,On-Demand Scan,Exploit,Exploit.Win32.BypassUAC.vho,3.88%,https://threats.kaspersky.com/en/threat/Exploit.Win32.BypassUAC.vho
2026-02-11,On-Demand Scan,Trojan,Trojan.Script.Generic,3.17%,https://threats.kaspersky.com/en/threat/Trojan.Script.Generic
2026-02-11,On-Demand Scan,Trojan,Trojan.Script.Agent.gen,2.19%,https://threats.kaspersky.com/en/threat/Trojan.Script.Agent.gen
2026-02-11,On-Demand Scan,Trojan,Trojan.Win32.SEPEH.gen,2%,https://threats.kaspersky.com/en/threat/Trojan.Win32.SEPEH.gen
2026-02-11,On-Demand Scan,Trojan,Trojan.Multi.Agent.gen,1.79%,https://threats.kaspersky.com/en/threat/Trojan.Multi.Agent.gen
2026-02-11,On-Demand Scan,Trojan-Downloader,Trojan-Downloader.Script.Generic,1.35%,https://threats.kaspersky.com/en/threat/Trojan-Downloader.Script.Generic
